"","ID","US_200BPS","US_200SCLASS","count"
"1",1,11,111,1273
"2",1,31,132,59625
"3",1,384,132,1677
"4",1,395,1,463
"5",1,395,2,242
"6",1,395,6,2
"7",1,395,7,55
"8",1,395,132,595
"9",1,399,2,35
"10",1,399,3,1
"11",1,399,4,5
"12",1,399,132,39
"13",1,403,1,45
"14",1,403,2,10
"15",1,403,3,271
"16",1,403,132,240
"17",1,404,1,9948
"18",1,404,2,1979
"19",1,404,7,42
"20",1,404,132,12224
"21",1,405,1,14
"22",1,406,1,90
"23",1,406,2,45
"24",1,406,3,537
"25",1,406,6,240
"26",1,406,7,4
"27",1,406,132,370
"28",1,1111,132,25
"29",1,1112,132,265
"30",1,1114,1,2238
"31",1,1114,3,3670
"32",1,1114,4,1673
"33",1,1114,5,1
"34",1,1114,7,9
"35",1,1114,132,1003
"36",1,1116,132,3
"37",1,1117,2,4
"38",1,1117,6,9
"39",1,1117,132,17
"40",1,1120,1,263
"41",1,1120,3,396
"42",1,1120,4,12
"43",1,1120,132,170
"44",1,1124,1,1731
"45",1,1124,2,1209
"46",1,1124,3,25807
"47",1,1124,7,151
"48",1,1124,132,19
"49",1,1128,1,35
"50",1,1128,2,4093
"51",1,1128,3,8320
"52",1,1128,6,5599
"53",1,1128,7,184
"54",1,1128,132,7914
"55",1,1129,2,27
"56",1,1130,2,293
"57",1,1130,3,58
"58",1,1130,4,4
"59",1,1130,5,1
"60",1,1130,7,1
"61",1,1130,132,756
"62",1,1131,1,240
"63",1,1131,2,15
"64",1,1131,5,107
"65",1,1131,7,3
"66",1,1131,132,802
"67",1,1132,1,37
"68",1,1132,4,21
"69",1,1132,132,27
"70",1,1133,3,26
"71",1,1133,4,1
"72",1,1133,132,36
"73",1,1135,1,6803
"74",1,1135,2,70
"75",1,1135,3,3918
"76",1,1135,4,20
"77",1,1135,5,18
"78",1,1135,7,32
"79",1,1135,132,2
"80",1,1139,2,129
"81",1,1139,3,220
"82",1,1139,132,44
"83",1,1140,1,2
"84",1,1140,3,16
"85",1,1140,4,15
"86",1,1140,132,276
"87",1,1143,1,239
"88",1,1143,2,2218
"89",1,1143,7,22
"90",1,1143,132,95
"91",1,1180,132,3590
"92",1,1181,1,22
"93",1,1181,2,15
"94",1,1181,3,60
"95",1,1181,7,2
"96",1,1181,132,63
"97",1,1182,1,17326
"98",1,1182,2,1365
"99",1,1182,3,21900
"100",1,1182,4,31807
"101",1,1182,5,6373
"102",1,1182,7,322
"103",1,1182,120,169
"104",1,1182,132,76179
"105",1,1183,1,59
"106",1,1183,2,58
"107",1,1183,3,395
"108",1,1183,4,270
"109",1,1183,132,727
"110",1,1184,1,416
"111",1,1184,2,930
"112",1,1184,3,165
"113",1,1184,4,167
"114",1,1184,7,4
"115",1,1184,132,4
"116",1,1185,1,483
"117",1,1185,2,183
"118",1,1185,3,28
"119",1,1185,4,484
"120",1,1185,132,984
"121",1,1186,1,134
"122",1,1186,2,611
"123",1,1186,3,714
"124",1,1186,6,52
"125",1,1186,132,947
"126",1,1188,1,3449
"127",1,1188,2,1874
"128",1,1188,3,2454
"129",1,1188,4,3535
"130",1,1188,5,25011
"131",1,1188,7,87
"132",1,1188,120,111
"133",1,1188,132,2150
"134",1,1189,1,7427
"135",1,1189,2,52100
"136",1,1189,3,3948
"137",1,1189,7,178
"138",1,1189,120,152
"139",1,1189,132,1054
"140",1,1190,1,16397
"141",1,1190,2,29283
"142",1,1190,3,36961
"143",1,1190,4,7230
"144",1,1190,5,89719
"145",1,1190,6,3033
"146",1,1190,7,682
"147",1,1190,120,2605
