"","id_model_label","count2020","total_count2020","current_percent2020"
"1","10_10040_Developed",19,19,100
"2","10_10060_Developed",28,28,100
"3","10_10160_15_28_A",225,3090,7
"4","10_10160_15_28_B",147,3090,4
"5","10_10160_15_28_C",440,3090,14
"6","10_10160_15_28_D",1080,3090,34
"7","10_10160_15_28_Developed",11,3090,0
"8","10_10160_15_28_E",1184,3090,38
"9","10_10160_15_28_UE",3,3090,0
"10","10_10190_15_A",1,69,1
"11","10_10190_15_B",11,69,15
"12","10_10190_15_C",1,69,1
"13","10_10190_15_D",53,69,76
"14","10_10190_15_UN",3,69,4
"15","10_10230_14_15_24_25_A",1491,14184,10
"16","10_10230_14_15_24_25_B",3423,14184,24
"17","10_10230_14_15_24_25_C",229,14184,1
"18","10_10230_14_15_24_25_D",8922,14184,62
"19","10_10230_14_15_24_25_Developed",54,14184,0
"20","10_10230_14_15_24_25_UE",39,14184,0
"21","10_10230_14_15_24_25_UN",26,14184,0
"22","10_10240_14_15_24_A",2291,8486,26
"23","10_10240_14_15_24_B",959,8486,11
"24","10_10240_14_15_24_C",86,8486,1
"25","10_10240_14_15_24_D",4572,8486,53
"26","10_10240_14_15_24_Developed",314,8486,3
"27","10_10240_14_15_24_UE",233,8486,2
"28","10_10240_14_15_24_UN",31,8486,0
"29","10_10250_14_15_24_25_26_A",150,16811,0
"30","10_10250_14_15_24_25_26_Agriculture",2,16811,0
"31","10_10250_14_15_24_25_26_B",6046,16811,35
"32","10_10250_14_15_24_25_26_C",9709,16811,57
"33","10_10250_14_15_24_25_26_Developed",115,16811,0
"34","10_10250_14_15_24_25_26_UE",30,16811,0
"35","10_10250_14_15_24_25_26_UN",759,16811,4
"36","10_10510_15_16_17_22_23_24_25_A",555,2667,20
"37","10_10510_15_16_17_22_23_24_25_B",266,2667,9
"38","10_10510_15_16_17_22_23_24_25_C",157,2667,5
"39","10_10510_15_16_17_22_23_24_25_D",239,2667,8
"40","10_10510_15_16_17_22_23_24_25_Developed",13,2667,0
"41","10_10510_15_16_17_22_23_24_25_E",1435,2667,53
"42","10_10510_15_16_17_22_23_24_25_UE",2,2667,0
"43","10_10520_15_A",221,2687,8
"44","10_10520_15_B",2363,2687,87
"45","10_10520_15_C",75,2687,2
"46","10_10520_15_Developed",28,2687,1
"47","10_10540_15_25_A",50777,1003807,5
"48","10_10540_15_25_B",237450,1003807,23
"49","10_10540_15_25_C",81659,1003807,8
"50","10_10540_15_25_D",9797,1003807,0
"51","10_10540_15_25_Developed",51508,1003807,5
"52","10_10540_15_25_E",557333,1003807,55
"53","10_10540_15_25_UE",12849,1003807,1
"54","10_10540_15_25_UN",2434,1003807,0
"55","10_10610_15_25_A",132,1348,9
"56","10_10610_15_25_B",164,1348,12
"57","10_10610_15_25_C",843,1348,62
"58","10_10610_15_25_D",196,1348,14
"59","10_10610_15_25_Developed",2,1348,0
"60","10_10610_15_25_UE",11,1348,0
"61","10_10770_15_B",20,24,83
"62","10_10770_15_Developed",3,24,12
"63","10_10770_15_UN",1,24,4
"64","10_10804_6_12_15_16_17_18_23_24_25_D",1,5,20
"65","10_10804_6_12_15_16_17_18_23_24_25_Developed",3,5,60
"66","10_10804_6_12_15_16_17_18_23_24_25_UN",1,5,20
"67","10_10910_15_B",3,9,33
"68","10_10910_15_Developed",2,9,22
"69","10_10910_15_UN",4,9,44
"70","10_11000_15_B",2,2,100
"71","10_11040_15_A",1176,29536,3
"72","10_11040_15_Agriculture",53,29536,0
"73","10_11040_15_B",1041,29536,3
"74","10_11040_15_C",1003,29536,3
"75","10_11040_15_D",24463,29536,82
"76","10_11040_15_Developed",374,29536,1
"77","10_11040_15_UE",361,29536,1
"78","10_11040_15_UN",1065,29536,3
"79","10_11070_15_A",11253,36246,31
"80","10_11070_15_Agriculture",1,36246,0
"81","10_11070_15_B",2356,36246,6
"82","10_11070_15_C",262,36246,0
"83","10_11070_15_D",17879,36246,49
"84","10_11070_15_Developed",2574,36246,7
"85","10_11070_15_UE",1107,36246,3
