"","ID","US_200BPS","US_220SCLASS","count"
"1",1,31,132,371
"2",1,384,132,1
"3",1,1180,120,3
"4",1,1182,1,731
"5",1,1182,2,48
"6",1,1182,3,509
"7",1,1182,4,3595
"8",1,1182,5,1059
"9",1,1182,7,26
"10",1,1182,120,296
"11",1,1182,132,2383
"12",1,1183,2,1
"13",1,1183,3,5
"14",1,1183,4,2
"15",1,1183,132,2
"16",1,1184,1,1
"17",1,1184,2,32
"18",1,1184,4,52
"19",1,1185,1,33
"20",1,1185,2,36
"21",1,1185,3,1
"22",1,1185,4,23
"23",1,1185,120,1
"24",1,1185,132,79
"25",1,1186,1,6
"26",1,1186,2,12
"27",1,1186,3,29
"28",1,1186,132,44
"29",1,1188,1,28
"30",1,1188,2,34
"31",1,1188,3,21
"32",1,1188,4,46
"33",1,1188,5,111
"34",1,1188,7,1
"35",1,1188,120,2
"36",1,1188,132,39
"37",1,1190,1,2732
"38",1,1190,2,8636
"39",1,1190,3,9492
"40",1,1190,4,3546
"41",1,1190,5,33185
"42",1,1190,6,1
"43",1,1190,7,546
"44",1,1190,120,577
"45",1,1190,132,37
"46",1,1193,1,1
"47",1,1193,4,11
"48",1,1193,132,1
"49",1,1196,132,3
"50",1,1197,132,47
"51",1,1202,1,4
"52",1,1202,2,1
"53",1,1202,3,4
"54",1,1202,4,150
"55",1,1202,6,1
"56",1,1202,132,3
"57",1,1203,1,98
"58",1,1203,2,18
"59",1,1203,3,6
"60",1,1203,4,797
"61",1,1203,7,41
"62",1,1203,132,9
"63",1,1207,1,838
"64",1,1207,2,20
"65",1,1207,3,4753
"66",1,1207,4,9534
"67",1,1207,5,139
"68",1,1207,7,383
"69",1,1207,120,21
"70",1,1209,1,21
"71",1,1209,3,115
"72",1,1209,120,1
"73",1,1209,132,7
"74",1,1210,2,34
"75",1,1210,3,6
"76",1,1210,4,94
"77",1,1211,1,39
"78",1,1211,2,29
"79",1,1211,3,709
"80",1,1211,6,9
"81",1,1211,7,24
"82",1,1213,1,1
"83",1,1213,3,3
"84",1,1214,1,306
"85",1,1214,2,1903
"86",1,1214,3,5237
"87",1,1214,7,83
"88",1,1214,120,53
"89",1,1214,132,16
"90",1,2705,1,450
"91",1,2705,3,119
"92",1,2705,4,121
"93",1,2705,5,2954
"94",1,2705,6,259
"95",1,2705,7,563
"96",1,2705,120,6
"97",1,2705,132,36
"98",2,1180,120,2
"99",2,1182,1,1
"100",2,1182,2,13
"101",2,1182,3,77
"102",2,1182,4,2417
"103",2,1182,5,988
"104",2,1182,132,3
"105",2,1184,1,399
"106",2,1184,2,530
"107",2,1184,3,8
"108",2,1184,4,746
"109",2,1184,7,19
"110",2,1185,1,14
"111",2,1185,2,2
"112",2,1185,3,1
"113",2,1185,4,2
"114",2,1188,1,3
"115",2,1188,2,23
"116",2,1188,3,27
"117",2,1188,4,6
"118",2,1188,5,61
"119",2,1190,1,2319
"120",2,1190,2,8553
"121",2,1190,3,6354
"122",2,1190,4,833
"123",2,1190,5,31512
"124",2,1190,7,236
"125",2,1190,120,24
"126",2,1193,3,2
"127",2,1202,1,6
"128",2,1202,3,5
"129",2,1202,4,85
"130",2,1202,120,2
"131",2,1203,1,50
"132",2,1203,2,17
"133",2,1203,3,8
"134",2,1203,4,681
"135",2,1203,6,4
"136",2,1203,7,23
"137",2,1207,1,810
"138",2,1207,2,3
"139",2,1207,3,2899
"140",2,1207,4,4331
"141",2,1207,5,89
"142",2,1207,7,62
"143",2,1209,1,319
"144",2,1209,2,43
"145",2,1209,3,15282
"146",2,1209,6,63
"147",2,1209,7,16
"148",2,1209,120,52
"149",2,1209,132,163
"150",2,1210,2,9
"151",2,1210,3,5
"152",2,1210,4,59
"153",2,1210,120,8
"154",2,1211,1,3
"155",2,1211,2,7
"156",2,1211,3,415
"157",2,1211,7,1
"158",2,1211,120,6
"159",2,1214,1,540
"160",2,1214,2,3058
"161",2,1214,3,5851
"162",2,1214,7,20
"163",2,1214,120,27
"164",2,1214,132,56
"165",2,2705,1,375
"166",2,2705,2,69
"167",2,2705,3,1056
"168",2,2705,4,1141
"169",2,2705,5,14549
"170",2,2705,6,2555
"171",2,2705,7,70
"172",2,2705,120,90
"173",2,2705,132,2
"174",3,31,132,413
"175",3,384,132,13
"176",3,1180,132,2
"177",3,1182,1,103
"178",3,1182,2,11
"179",3,1182,3,112
"180",3,1182,4,358
"181",3,1182,5,96
"182",3,1182,120,10
"183",3,1182,132,1779
"184",3,1183,3,2
"185",3,1183,4,6
"186",3,1183,132,4
"187",3,1185,1,166
"188",3,1185,2,138
"189",3,1185,3,18
"190",3,1185,4,37
"191",3,1185,132,52
"192",3,1186,1,6
"193",3,1186,2,27
"194",3,1186,3,55
"195",3,1186,132,44
"196",3,1188,1,3
"197",3,1188,2,18
"198",3,1188,3,10
"199",3,1188,4,21
"200",3,1188,5,119
"201",3,1188,132,20
"202",3,1189,2,3
"203",3,1189,132,1
"204",3,1190,1,3483
"205",3,1190,2,15192
"206",3,1190,3,18964
"207",3,1190,4,4826
"208",3,1190,5,47874
"209",3,1190,6,2
"210",3,1190,7,146
"211",3,1190,120,666
"212",3,1190,132,29
"213",3,1196,1,1
"214",3,1196,3,1
"215",3,1196,6,20
"216",3,1196,132,29
"217",3,1197,132,5
"218",3,1202,1,62
"219",3,1202,2,4
"220",3,1202,3,5
"221",3,1202,4,207
"222",3,1202,7,1
"223",3,1202,132,12
"224",3,1203,1,86
"225",3,1203,2,7
"226",3,1203,3,8
"227",3,1203,4,939
"228",3,1203,7,4
"229",3,1207,1,518
"230",3,1207,2,1
"231",3,1207,3,1699
"232",3,1207,4,2792
"233",3,1207,5,15
"234",3,1207,7,88
"235",3,1207,132,10
"236",3,1209,1,217
"237",3,1209,2,7
