"","id_model_label","count2020","total_count2020","current_percent2020"
"1","10_10160_15_28_A",5,79,6
"2","10_10160_15_28_B",6,79,7
"3","10_10160_15_28_C",13,79,16
"4","10_10160_15_28_D",30,79,37
"5","10_10160_15_28_E",25,79,31
"6","10_10240_14_15_24_A",290,340,85
"7","10_10240_14_15_24_B",15,340,4
"8","10_10240_14_15_24_C",1,340,0
"9","10_10240_14_15_24_D",5,340,1
"10","10_10240_14_15_24_Developed",29,340,8
"11","10_10510_15_16_17_22_23_24_25_A",54,421,12
"12","10_10510_15_16_17_22_23_24_25_B",80,421,19
"13","10_10510_15_16_17_22_23_24_25_C",78,421,18
"14","10_10510_15_16_17_22_23_24_25_D",68,421,16
"15","10_10510_15_16_17_22_23_24_25_E",141,421,33
"16","10_10520_15_A",3,8,37
"17","10_10520_15_B",4,8,50
"18","10_10520_15_C",1,8,12
"19","10_10540_15_25_A",6227,73751,8
"20","10_10540_15_25_B",24696,73751,33
"21","10_10540_15_25_C",15569,73751,21
"22","10_10540_15_25_D",245,73751,0
"23","10_10540_15_25_Developed",1124,73751,1
"24","10_10540_15_25_E",25183,73751,34
"25","10_10540_15_25_UE",670,73751,0
"26","10_10540_15_25_UN",37,73751,0
"27","10_10610_15_25_A",5,30,16
"28","10_10610_15_25_B",1,30,3
"29","10_10610_15_25_C",8,30,26
"30","10_10610_15_25_D",15,30,50
"31","10_10610_15_25_UE",1,30,3
"32","10_10804_6_12_15_16_17_18_23_24_25_A",3,4,75
"33","10_10804_6_12_15_16_17_18_23_24_25_D",1,4,25
"34","10_11040_15_A",54,466,11
"35","10_11040_15_B",18,466,3
"36","10_11040_15_C",65,466,13
"37","10_11040_15_D",299,466,64
"38","10_11040_15_Developed",22,466,4
"39","10_11040_15_UE",8,466,1
"40","10_11070_15_A",590,2051,28
"41","10_11070_15_B",55,2051,2
"42","10_11070_15_C",1,2051,0
"43","10_11070_15_D",1349,2051,65
"44","10_11070_15_Developed",38,2051,1
"45","10_11070_15_UE",17,2051,0
"46","10_11070_15_UN",1,2051,0
"47","10_11150_15_16_23_24_C",3,32,9
"48","10_11150_15_16_23_24_D",4,32,12
"49","10_11150_15_16_23_24_E",22,32,68
"50","10_11150_15_16_23_24_UN",3,32,9
"51","10_11170_13_15_28_A",2285,10408,21
"52","10_11170_13_15_28_B",65,10408,0
"53","10_11170_13_15_28_C",4955,10408,47
"54","10_11170_13_15_28_D",2906,10408,27
"55","10_11170_13_15_28_Developed",121,10408,1
"56","10_11170_13_15_28_E",74,10408,0
"57","10_11170_13_15_28_UE",2,10408,0
"58","10_11210_15_B",3,11,27
"59","10_11210_15_D",3,11,27
"60","10_11210_15_UN",5,11,45
"61","10_11270_15_A",2613,12769,20
"62","10_11270_15_B",16,12769,0
"63","10_11270_15_C",9464,12769,74
"64","10_11270_15_Developed",602,12769,4
"65","10_11270_15_UE",47,12769,0
"66","10_11270_15_UN",27,12769,0
"67","10_11350_15_28_A",1,2034,0
"68","10_11350_15_28_B",797,2034,39
"69","10_11350_15_28_C",217,2034,10
"70","10_11350_15_28_D",837,2034,41
"71","10_11350_15_28_Developed",62,2034,3
"72","10_11350_15_28_UE",120,2034,5
"73","10_11460_15_16_23_24_25_28_A",228,7649,2
"74","10_11460_15_16_23_24_25_28_B",2487,7649,32
"75","10_11460_15_16_23_24_25_28_C",4552,7649,59
"76","10_11460_15_16_23_24_25_28_Developed",233,7649,3
"77","10_11460_15_16_23_24_25_28_UE",120,7649,1
"78","10_11460_15_16_23_24_25_28_UN",29,7649,0
"79","10_11590_15_A",52,3945,1
"80","10_11590_15_B",2509,3945,63
"81","10_11590_15_C",1116,3945,28
"82","10_11590_15_Developed",248,3945,6
"83","10_11590_15_UE",20,3945,0
"84","11_10040_Developed",1,1,100
"85","11_10110_15_C",1,1,100
"86","11_10160_15_28_A",39,556,7
"87","11_10160_15_28_B",9,556,1
"88","11_10160_15_28_C",258,556,46
"89","11_10160_15_28_D",232,556,41
"90","11_10160_15_28_E",18,556,3
"91","11_10240_14_15_24_A",7513,7770,96
"92","11_10240_14_15_24_B",40,7770,0
"93","11_10240_14_15_24_C",21,7770,0
"94","11_10240_14_15_24_D",5,7770,0
"95","11_10240_14_15_24_Developed",189,7770,2
"96","11_10240_14_15_24_UE",2,7770,0
"97","11_10510_15_16_17_22_23_24_25_A",773,4784,16
"98","11_10510_15_16_17_22_23_24_25_B",835,4784,17
"99","11_10510_15_16_17_22_23_24_25_C",725,4784,15
"100","11_10510_15_16_17_22_23_24_25_D",364,4784,7
"101","11_10510_15_16_17_22_23_24_25_E",2085,4784,43
"102","11_10510_15_16_17_22_23_24_25_UE",2,4784,0
"103","11_10520_15_A",3,46,6
"104","11_10520_15_B",40,46,86
"105","11_10520_15_C",3,46,6
"106","11_10540_15_25_A",1388,46157,3
"107","11_10540_15_25_B",12869,46157,27
"108","11_10540_15_25_C",21430,46157,46
"109","11_10540_15_25_D",519,46157,1
"110","11_10540_15_25_Developed",492,46157,1
"111","11_10540_15_25_E",9421,46157,20
"112","11_10540_15_25_UE",2,46157,0
"113","11_10540_15_25_UN",36,46157,0
"114","11_10550_15_28_A",4,182,2
"115","11_10550_15_28_B",24,182,13
"116","11_10550_15_28_C",16,182,8
"117","11_10550_15_28_D",19,182,10
"118","11_10550_15_28_E",119,182,65
"119","11_10610_15_25_A",231,840,27
"120","11_10610_15_25_B",138,840,16
"121","11_10610_15_25_C",242,840,28
"122","11_10610_15_25_D",229,840,27
"123","11_10820_12_15_16_17_23_24_A",3,7,42
"124","11_10820_12_15_16_17_23_24_B",2,7,28
"125","11_10820_12_15_16_17_23_24_UN",2,7,28
"126","11_11040_15_A",48,391,12
"127","11_11040_15_B",20,391,5
"128","11_11040_15_C",39,391,9
"129","11_11040_15_D",270,391,69
"130","11_11040_15_Developed",10,391,2
"131","11_11040_15_UE",4,391,1
"132","11_11070_15_A",666,3112,21
"133","11_11070_15_B",155,3112,4
"134","11_11070_15_D",2254,3112,72
"135","11_11070_15_Developed",35,3112,1
"136","11_11070_15_UE",2,3112,0
"137","11_11170_13_15_28_A",14031,20083,69
"138","11_11170_13_15_28_B",12,20083,0
"139","11_11170_13_15_28_C",4583,20083,22
"140","11_11170_13_15_28_D",1103,20083,5
"141","11_11170_13_15_28_Developed",343,20083,1
"142","11_11170_13_15_28_E",7,20083,0
"143","11_11170_13_15_28_UE",4,20083,0
"144","11_11210_15_Developed",1,1,100
"145","11_11270_15_A",2683,15073,17
"146","11_11270_15_B",216,15073,1
"147","11_11270_15_C",11752,15073,77
"148","11_11270_15_Developed",390,15073,2
"149","11_11270_15_UE",32,15073,0
"150","11_11350_15_28_B",29,336,8
"151","11_11350_15_28_C",53,336,15
"152","11_11350_15_28_D",246,336,73
"153","11_11350_15_28_Developed",6,336,1
"154","11_11350_15_28_UE",2,336,0
"155","11_11460_15_16_23_24_25_28_A",10,842,1
"156","11_11460_15_16_23_24_25_28_B",84,842,9
"157","11_11460_15_16_23_24_25_28_C",730,842,86
"158","11_11460_15_16_23_24_25_28_Developed",15,842,1
"159","11_11460_15_16_23_24_25_28_UE",3,842,0
"160","11_11550_15_Developed",1,1,100
"161","11_11552_13_14_15_Developed",2,2,100
"162","11_11590_15_A",66,3288,2
"163","11_11590_15_B",2563,3288,77
"164","11_11590_15_C",598,3288,18
"165","11_11590_15_Developed",58,3288,1
"166","11_11590_15_UE",3,3288,0
"167","11_11600_15_28_A",1,137,0
"168","11_11600_15_28_B",135,137,98
"169","11_11600_15_28_UE",1,137,0
"170","12_10040_Developed",1,1,100
"171","12_10060_Developed",1,1,100
"172","12_10160_15_28_B",1,7,14
"173","12_10160_15_28_C",5,7,71
"174","12_10160_15_28_D",1,7,14
"175","12_10240_14_15_24_A",1095,1229,89
"176","12_10240_14_15_24_B",43,1229,3
"177","12_10240_14_15_24_C",20,1229,1
"178","12_10240_14_15_24_D",3,1229,0
"179","12_10240_14_15_24_Developed",67,1229,5
"180","12_10240_14_15_24_UE",1,1229,0
"181","12_10540_15_25_A",2621,75266,3
"182","12_10540_15_25_B",21110,75266,28
"183","12_10540_15_25_C",15681,75266,20
"184","12_10540_15_25_D",1160,75266,1
"185","12_10540_15_25_Developed",4815,75266,6
"186","12_10540_15_25_E",29868,75266,39
"187","12_10540_15_25_UE",7,75266,0
"188","12_10540_15_25_UN",4,75266,0
"189","12_10610_15_25_B",1,29,3
"190","12_10610_15_25_C",20,29,68
"191","12_10610_15_25_D",8,29,27
"192","12_10804_6_12_15_16_17_18_23_24_25_A",1,2,50
"193","12_10804_6_12_15_16_17_18_23_24_25_C",1,2,50
"194","12_11040_15_A",217,973,22
"195","12_11040_15_B",24,973,2
"196","12_11040_15_C",54,973,5
"197","12_11040_15_D",464,973,47
"198","12_11040_15_Developed",200,973,20
"199","12_11040_15_UE",13,973,1
"200","12_11040_15_UN",1,973,0
"201","12_11070_15_A",1155,5991,19
"202","12_11070_15_B",221,5991,3
"203","12_11070_15_C",8,5991,0
"204","12_11070_15_D",3616,5991,60
"205","12_11070_15_Developed",976,5991,16
"206","12_11070_15_UE",15,5991,0
"207","12_11170_13_15_28_A",3026,6972,43
"208","12_11170_13_15_28_B",27,6972,0
"209","12_11170_13_15_28_C",2411,6972,34
"210","12_11170_13_15_28_D",1007,6972,14
"211","12_11170_13_15_28_Developed",478,6972,6
"212","12_11170_13_15_28_E",21,6972,0
"213","12_11170_13_15_28_UE",2,6972,0
"214","12_11210_15_B",4,145,2
"215","12_11210_15_D",9,145,6
"216","12_11210_15_Developed",11,145,7
"217","12_11210_15_UN",121,145,83
"218","12_11270_15_A",3554,11131,31
"219","12_11270_15_B",32,11131,0
"220","12_11270_15_C",6260,11131,56
"221","12_11270_15_Developed",1220,11131,10
"222","12_11270_15_UE",65,11131,0
"223","12_11350_15_28_A",3,6078,0
"224","12_11350_15_28_B",2754,6078,45
"225","12_11350_15_28_C",566,6078,9
"226","12_11350_15_28_D",1931,6078,31
"227","12_11350_15_28_Developed",751,6078,12
"228","12_11350_15_28_UE",71,6078,1
"229","12_11350_15_28_UN",2,6078,0
"230","12_11460_15_16_23_24_25_28_A",102,4459,2
"231","12_11460_15_16_23_24_25_28_B",1130,4459,25
"232","12_11460_15_16_23_24_25_28_C",2411,4459,54
"233","12_11460_15_16_23_24_25_28_Developed",805,4459,18
"234","12_11460_15_16_23_24_25_28_UE",11,4459,0
"235","12_11550_15_Developed",1,1,100
"236","12_11590_15_A",140,4005,3
"237","12_11590_15_B",2255,4005,56
"238","12_11590_15_C",1157,4005,28
"239","12_11590_15_Developed",451,4005,11
"240","12_11590_15_UE",2,4005,0
"241","13_10040_Developed",11,11,100
"242","13_10240_14_15_24_A",148,162,91
"243","13_10240_14_15_24_B",1,162,0
"244","13_10240_14_15_24_C",1,162,0
"245","13_10240_14_15_24_D",1,162,0
"246","13_10240_14_15_24_Developed",10,162,6
"247","13_10240_14_15_24_UE",1,162,0
"248","13_10510_15_16_17_22_23_24_25_A",481,1335,36
"249","13_10510_15_16_17_22_23_24_25_B",212,1335,15
"250","13_10510_15_16_17_22_23_24_25_C",229,1335,17
"251","13_10510_15_16_17_22_23_24_25_D",88,1335,6
"252","13_10510_15_16_17_22_23_24_25_E",323,1335,24
"253","13_10510_15_16_17_22_23_24_25_UE",2,1335,0
"254","13_10520_15_B",6,6,100
"255","13_10540_15_25_A",7522,73691,10
"256","13_10540_15_25_B",29225,73691,39
"257","13_10540_15_25_C",7853,73691,10
"258","13_10540_15_25_D",490,73691,0
"259","13_10540_15_25_Developed",6115,73691,8
"260","13_10540_15_25_E",22427,73691,30
"261","13_10540_15_25_UE",44,73691,0
"262","13_10540_15_25_UN",15,73691,0
"263","13_10610_15_25_A",20,151,13
"264","13_10610_15_25_B",40,151,26
"265","13_10610_15_25_C",28,151,18
"266","13_10610_15_25_D",63,151,41
"267","13_11040_15_A",79,386,20
"268","13_11040_15_B",25,386,6
"269","13_11040_15_C",37,386,9
"270","13_11040_15_D",178,386,46
"271","13_11040_15_Developed",51,386,13
"272","13_11040_15_UE",16,386,4
"273","13_11070_15_A",848,3035,27
"274","13_11070_15_B",252,3035,8
"275","13_11070_15_C",4,3035,0
"276","13_11070_15_D",1310,3035,43
"277","13_11070_15_Developed",574,3035,18
"278","13_11070_15_UE",47,3035,1
"279","13_11170_13_15_28_A",333,750,44
"280","13_11170_13_15_28_B",2,750,0
"281","13_11170_13_15_28_C",189,750,25
"282","13_11170_13_15_28_D",138,750,18
"283","13_11170_13_15_28_Developed",71,750,9
"284","13_11170_13_15_28_E",14,750,1
"285","13_11170_13_15_28_UE",3,750,0
"286","13_11210_15_B",48,210,22
"287","13_11210_15_D",43,210,20
"288","13_11210_15_Developed",12,210,5
"289","13_11210_15_UE",1,210,0
"290","13_11210_15_UN",106,210,50
"291","13_11270_15_A",1680,3994,42
"292","13_11270_15_B",16,3994,0
"293","13_11270_15_C",1853,3994,46
"294","13_11270_15_Developed",364,3994,9
"295","13_11270_15_UE",81,3994,2
"296","13_11350_15_28_A",1,2272,0
