"","to_join","model_label","model_code","ref_label","ref_percent","bps_name","ID","count2020","total_count2020","current_percent2020","count2022","total_count2022","current_percent2022","change","sign_change","bps_acres"
"1","1_10110_15_A","10110_15_A","10110_15","A",7,"Rocky Mountain Aspen Forest and Woodland",1,22,162,13,25,162,15,-2,FALSE,36
"2","1_10110_15_B","10110_15_B","10110_15","B",35,"Rocky Mountain Aspen Forest and Woodland",1,15,162,9,13,162,8,1,TRUE,36
"3","1_10110_15_C","10110_15_C","10110_15","C",58,"Rocky Mountain Aspen Forest and Woodland",1,60,162,37,59,162,36,1,TRUE,36
"4","1_10110_15_D","10110_15_D","10110_15","D",0,"Rocky Mountain Aspen Forest and Woodland",1,0,0,0,0,0,0,0,FALSE,36
"5","1_10110_15_E","10110_15_E","10110_15","E",0,"Rocky Mountain Aspen Forest and Woodland",1,0,0,0,0,0,0,0,FALSE,36
"6","1_10110_15_Agriculture","10110_15_Agriculture","10110_15","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1,0,0,0,0,0,0,0,FALSE,36
"7","1_10110_15_Developed","10110_15_Developed","10110_15","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1,0,0,0,0,0,0,0,FALSE,36
"8","1_10110_15_Water","10110_15_Water","10110_15","Water",0,"Rocky Mountain Aspen Forest and Woodland",1,0,0,0,0,0,0,0,FALSE,36
"9","1_10110_15_UN","10110_15_UN","10110_15","UN",0,"Rocky Mountain Aspen Forest and Woodland",1,0,0,0,0,0,0,0,FALSE,36
"10","1_10110_15_UE","10110_15_UE","10110_15","UE",0,"Rocky Mountain Aspen Forest and Woodland",1,2,162,1,2,162,1,0,FALSE,36
"11","1_10160_15_28_A","10160_15_28_A","10160_15_28","A",10,"Colorado Plateau Pinyon-Juniper Woodland",1,17326,155441,11,17112,155441,11,0,FALSE,34508
"12","1_10160_15_28_B","10160_15_28_B","10160_15_28","B",21,"Colorado Plateau Pinyon-Juniper Woodland",1,1365,155441,0,1358,155441,0,0,FALSE,34508
"13","1_10160_15_28_C","10160_15_28_C","10160_15_28","C",25,"Colorado Plateau Pinyon-Juniper Woodland",1,21900,155441,14,21886,155441,14,0,FALSE,34508
"14","1_10160_15_28_D","10160_15_28_D","10160_15_28","D",34,"Colorado Plateau Pinyon-Juniper Woodland",1,31807,155441,20,31954,155441,20,0,FALSE,34508
"15","1_10160_15_28_E","10160_15_28_E","10160_15_28","E",10,"Colorado Plateau Pinyon-Juniper Woodland",1,6373,155441,4,6168,155441,3,1,TRUE,34508
"16","1_10160_15_28_Agriculture","10160_15_28_Agriculture","10160_15_28","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,34508
"17","1_10160_15_28_Developed","10160_15_28_Developed","10160_15_28","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",1,169,155441,0,196,155441,0,0,FALSE,34508
"18","1_10160_15_28_Water","10160_15_28_Water","10160_15_28","Water",0,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,34508
"19","1_10160_15_28_UN","10160_15_28_UN","10160_15_28","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,34508
"20","1_10160_15_28_UE","10160_15_28_UE","10160_15_28","UE",0,"Colorado Plateau Pinyon-Juniper Woodland",1,322,155441,0,588,155441,0,0,FALSE,34508
"21","1_10160_16_23_24_25_A","10160_16_23_24_25_A","10160_16_23_24_25","A",9,"Colorado Plateau Pinyon-Juniper Woodland",1,2238,8594,26,2211,8594,25,1,TRUE,1908
"22","1_10160_16_23_24_25_B","10160_16_23_24_25_B","10160_16_23_24_25","B",21,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,1908
"23","1_10160_16_23_24_25_C","10160_16_23_24_25_C","10160_16_23_24_25","C",24,"Colorado Plateau Pinyon-Juniper Woodland",1,3670,8594,42,3670,8594,42,0,FALSE,1908
"24","1_10160_16_23_24_25_D","10160_16_23_24_25_D","10160_16_23_24_25","D",38,"Colorado Plateau Pinyon-Juniper Woodland",1,1673,8594,19,1673,8594,19,0,FALSE,1908
"25","1_10160_16_23_24_25_E","10160_16_23_24_25_E","10160_16_23_24_25","E",8,"Colorado Plateau Pinyon-Juniper Woodland",1,1,8594,0,1,8594,0,0,FALSE,1908
"26","1_10160_16_23_24_25_Agriculture","10160_16_23_24_25_Agriculture","10160_16_23_24_25","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,1908
"27","1_10160_16_23_24_25_Developed","10160_16_23_24_25_Developed","10160_16_23_24_25","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,1908
"28","1_10160_16_23_24_25_Water","10160_16_23_24_25_Water","10160_16_23_24_25","Water",0,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,1908
"29","1_10160_16_23_24_25_UN","10160_16_23_24_25_UN","10160_16_23_24_25","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,1908
"30","1_10160_16_23_24_25_UE","10160_16_23_24_25_UE","10160_16_23_24_25","UE",0,"Colorado Plateau Pinyon-Juniper Woodland",1,9,8594,0,36,8594,0,0,FALSE,1908
"31","1_10190_15_A","10190_15_A","10190_15","A",2,"Great Basin Pinyon-Juniper Woodland",1,59,1509,3,59,1509,3,0,FALSE,335
"32","1_10190_15_B","10190_15_B","10190_15","B",7,"Great Basin Pinyon-Juniper Woodland",1,58,1509,3,58,1509,3,0,FALSE,335
"33","1_10190_15_C","10190_15_C","10190_15","C",27,"Great Basin Pinyon-Juniper Woodland",1,395,1509,26,395,1509,26,0,FALSE,335
"34","1_10190_15_D","10190_15_D","10190_15","D",64,"Great Basin Pinyon-Juniper Woodland",1,270,1509,17,270,1509,17,0,FALSE,335
"35","1_10190_15_E","10190_15_E","10190_15","E",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,335
"36","1_10190_15_Agriculture","10190_15_Agriculture","10190_15","Agriculture",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,335
"37","1_10190_15_Developed","10190_15_Developed","10190_15","Developed",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,335
"38","1_10190_15_Water","10190_15_Water","10190_15","Water",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,335
"39","1_10190_15_UN","10190_15_UN","10190_15","UN",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,335
"40","1_10190_15_UE","10190_15_UE","10190_15","UE",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,335
"41","1_10230_14_15_24_25_A","10230_14_15_24_25_A","10230_14_15_24_25","A",21,"Madrean Encinal",1,416,1686,24,412,1686,24,0,FALSE,374
"42","1_10230_14_15_24_25_B","10230_14_15_24_25_B","10230_14_15_24_25","B",37,"Madrean Encinal",1,930,1686,55,933,1686,55,0,FALSE,374
"43","1_10230_14_15_24_25_C","10230_14_15_24_25_C","10230_14_15_24_25","C",25,"Madrean Encinal",1,165,1686,9,168,1686,9,0,FALSE,374
