Area_HA,Fireshed_I,Fireshed_N,Fireshed_C,Fireshed_S,NoPAs,MajRegion,AnnualExpo,PctRecentl,Climate_Ta,Shape_Leng,Shape_Area
120139,2332,"North Rim, Arizona",north_rim_az,AZ,12,03,0.270354723964000,14.292048052700000, ,190080.000000000000000,1201392000.000000000000000
128887,2374,"Angels Gate, Arizona",angels_gate_az,AZ,13,03,0.112535376861000,4.239865429690000, ,203040.000000000000000,1288872000.000000000000000
101827,2385,"Tusayan, Arizona",tusayan_az,AZ,10,03,3.649569558260000,5.395743811650000, ,179280.000000000000000,1018267200.000000000000000
126904,2421,"Antelope Hill, Arizona",antelope_hill_az,AZ,12,03,0.017696736924700,6.217987236950000, ,200880.000000000000000,1269043200.000000000000000
92962,2433,"Black Falls Crossing, Arizona",black_falls_crossing_az,AZ,9,03,0.011894462770800,0.000000000000000, ,155520.000000000000000,929620800.000000000000000
91562,2447,"Agassiz Peak, Arizona",agassiz_peak_az,AZ,9,03,3.325552269490000,16.877695817300001,AZ 4FRI,164160.000000000000000,915624000.000000000000000
123988,2452,"Bootlegger Crossing, Arizona",bootlegger_crossing_az,AZ,12,03,7.776631313100000,8.446728107700000,AZ 4FRI,209520.000000000000000,1239883200.000000000000000
109292,2468,"Williams, Arizona",williams_az,AZ,11,03,8.052726485579999,7.307318815450000,AZ 4FRI,174960.000000000000000,1092916800.000000000000000
104043,2501,"Angell, Arizona",angell_az,AZ,10,03,19.033133885800002,0.062615527565500, ,190080.000000000000000,1040428800.000000000000000
133903,2504,"Flagstaff, Arizona",flagstaff_az,AZ,13,03,65.273600538899998,8.893001573859999,AZ 4FRI,207360.000000000000000,1339027200.000000000000000
124105,2516,"Bear, Arizona",bear_az,AZ,12,03,1.100877471750000,12.419678351600000,AZ 4FRI,179280.000000000000000,1241049600.000000000000000
121189,2535,"Canyon Diablo, Arizona",canyon_diablo_az,AZ,12,03,0.046491567663000,9.249072914739999, ,190080.000000000000000,1211889600.000000000000000
122472,2551,"Munds Park, Arizona",munds_park_az,AZ,12,03,24.140318454500001,20.979173845399998,AZ 4FRI,211680.000000000000000,1224720000.000000000000000
94478,2553,"East Sunset Mountain, Arizona",east_sunset_mountain_az,AZ,9,03,0.000341358194071,4.268321009490000, ,168480.000000000000000,944784000.000000000000000
113024,2564,"Cottonwood 1,  Arizona",cottonwood_1_az,AZ,11,03,57.346344991099997,0.000000000000000, ,172800.000000000000000,1130241600.000000000000000
59720,2581,"Echinique Place, Arizona",echinique_place_az,AZ,6,03,0.903461546410000,14.722542277100001,AZ 4FRI,185760.000000000000000,597196800.000000000000000
115590,2591,"Babbit Winter, Arizona",babbit_winter_az,AZ,11,03,0.300533560095000,2.052475350020000,AZ 4FRI,179280.000000000000000,1155902400.000000000000000
116640,2598,"Lawrence Crossing, Arizona",lawrence_crossing_az,AZ,11,03,5.432735184840000,8.241719762370000,AZ 4FRI,185760.000000000000000,1166400000.000000000000000
90863,2599,"Clints Well, Arizona",clints_well_az,AZ,9,03,7.418359029920000,37.257221698400002,AZ 4FRI,162000.000000000000000,908625600.000000000000000
125505,2608,"Zeniff, Arizona",zeniff_az,AZ,12,03,0.013627784907300,3.639547459690000, ,194400.000000000000000,1255046400.000000000000000
112674,2621,"Payson, Arizona",payson_az,AZ,11,03,80.111192290999995,11.165382314100000,AZ 4FRI,174960.000000000000000,1126742400.000000000000000
88646,2634,"Bear Flat, Arizona",bear_flat_az,AZ,9,03,15.571622969400000,19.582108091199999,AZ 4FRI,192240.000000000000000,886464000.000000000000000
72317,2639,"Heber-Overgaard, Arizona",heber-overgaard_az,AZ,7,03,17.480953518300002,12.284346320299999,AZ 4FRI,168480.000000000000000,723168000.000000000000000
88530,2643,"Aripine, Arizona",aripine_az,AZ,9,03,7.908342924380000,8.775382775450000,AZ 4FRI,172800.000000000000000,885297600.000000000000000
93545,2655,"Young, Arizona",young_az,AZ,9,03,14.297676074000000,6.827124618330000,AZ 4FRI,181440.000000000000000,935452800.000000000000000
118973,2663,"Show Low, Arizona",show_low_az,AZ,11,03,52.266141421000000,10.483765810200000,AZ 4FRI,198720.000000000000000,1189728000.000000000000000
115474,2678,"Cibecue Creek, Arizona",cibecue_creek_az,AZ,11,03,4.780528458010000,0.880617476215000, ,211680.000000000000000,1154736000.000000000000000
102410,2685,"Carrizo, Arizona",carrizo_az,AZ,10,03,12.637399653599999,18.856755040900001, ,168480.000000000000000,1024099200.000000000000000
