class_id,model_label
Early1:ALL,10080_1_2_3_7_A
Mid1:CLS,10080_1_2_3_7_B
Mid1:OPN,10080_1_2_3_7_C
Early1:ALL,10090_19_A
Mid1:OPN,10090_19_B
Late1:CLS,10090_19_C
Early1:ALL,10110_15_A
Mid1:CLS,10110_15_B
Late1:CLS,10110_15_C
Early1:ALL,10110_16_23_24_A
Mid1:CLS,10110_16_23_24_B
Mid2:CLS,10110_16_23_24_C
Late1:ALL,10110_16_23_24_D
Late1:CLS,10110_16_23_24_E
Early1:ALL,10110_20_29_A
Mid1:ALL,10110_20_29_B
Late1:CLS,10110_20_29_C
Late1:OPN,10110_20_29_D
Late2:CLS,10110_20_29_E
Early1:ALL,10110_21_A
Mid1:ALL,10110_21_B
Late1:CLS,10110_21_C
Late2:OPN,10110_21_D
Late3:CLS,10110_21_E
Early1:ALL,10110_22_A
Mid1:CLS,10110_22_B
Late1:CLS,10110_22_C
Early1:ALL,10110_27_A
Mid1:CLS,10110_27_B
Late1:ALL,10110_27_C
Early1:ALL,10110_28_A
Mid1:CLS,10110_28_B
Late1:CLS,10110_28_C
Early1:CLS,10110_6_10_12_17_18_19_A
Mid1:CLS,10110_6_10_12_17_18_19_B
Late1:CLS,10110_6_10_12_17_18_19_C
Late1:OPN,10110_6_10_12_17_18_19_D
Early1:ALL,10110_7_A
Mid1:CLS,10110_7_B
Mid2:CLS,10110_7_C
Late1:ALL,10110_7_D
Late1:CLS,10110_7_E
Early1:ALL,10110_9_A
Mid1:CLS,10110_9_B
Mid2:CLS,10110_9_C
Late1:ALL,10110_9_D
Late1:CLS,10110_9_E
Early1:ALL,10120_16_27_A
Mid1:CLS,10120_16_27_B
Late1:CLS,10120_16_27_C
Early1:ALL,10120_17_18_21_A
Mid1:CLS,10120_17_18_21_B
Late1:CLS,10120_17_18_21_C
Early1:ALL,10130_31_38_39_40_A
Late1:ALL,10130_31_38_39_40_B
Late1:OPN,10130_31_38_39_40_C
Late1:CLS,10130_31_38_39_40_D
Early1:ALL,10140_4_5_A
Mid1:CLS,10140_4_5_B
Late1:CLS,10140_4_5_C
Early1:ALL,10150_2_3_4_A
Mid1:CLS,10150_2_3_4_B
Late1:CLS,10150_2_3_4_C
Early1:OPN,10160_13_14_A
Mid1:OPN,10160_13_14_B
Mid2:OPN,10160_13_14_C
Late1:OPN,10160_13_14_D
Early1:ALL,10160_15_28_A
Mid1:CLS,10160_15_28_B
Mid1:OPN,10160_15_28_C
Late1:OPN,10160_15_28_D
Late1:CLS,10160_15_28_E
Early1:ALL,10160_16_23_24_25_A
Mid1:CLS,10160_16_23_24_25_B
Mid1:OPN,10160_16_23_24_25_C
Late1:OPN,10160_16_23_24_25_D
Late1:CLS,10160_16_23_24_25_E
Early1:ALL,10160_17_A
Mid1:CLS,10160_17_B
Mid1:OPN,10160_17_C
Late1:OPN,10160_17_D
Late1:CLS,10160_17_E
Early1:OPN,10160_22_A
Mid1:OPN,10160_22_B
Late1:OPN,10160_22_C
Early1:OPN,10170_6_7_8_9_12_18_A
Mid1:OPN,10170_6_7_8_9_12_18_B
Late1:OPN,10170_6_7_8_9_12_18_C
Late1:CLS,10170_6_7_8_9_12_18_D
Late2:OPN,10170_6_7_8_9_12_18_E
Early1:ALL,10180_1_7_A
Mid1:CLS,10180_1_7_B
Mid1:OPN,10180_1_7_C
Late1:OPN,10180_1_7_D
Late1:CLS,10180_1_7_E
Early1:OPN,10190_13_14_A
Mid1:OPN,10190_13_14_B
Mid2:OPN,10190_13_14_C
Late1:OPN,10190_13_14_D
Early1:OPN,10190_15_A
Mid1:OPN,10190_15_B
Mid2:OPN,10190_15_C
Late1:OPN,10190_15_D
Early1:OPN,10190_4_A
Mid1:OPN,10190_4_B
Mid2:OPN,10190_4_C
Late1:OPN,10190_4_D
Late2:OPN,10190_4_E
Early1:OPN,10190_6_7_9_12_16_17_18_19_A
Mid1:OPN,10190_6_7_9_12_16_17_18_19_B
Late1:OPN,10190_6_7_9_12_16_17_18_19_C
Late2:OPN,10190_6_7_9_12_16_17_18_19_D
Early1:ALL,10200_13_A
Mid1:OPN,10200_13_B
Late1:OPN,10200_13_C
Early1:ALL,10200_6_9_12_17_A
Mid1:OPN,10200_6_9_12_17_B
Late1:OPN,10200_6_9_12_17_C
Early1:ALL,10210_2_3_6_7_A
Mid1:CLS,10210_2_3_6_7_B
Mid1:OPN,10210_2_3_6_7_C
Late1:OPN,10210_2_3_6_7_D
Late1:CLS,10210_2_3_6_7_E
Early1:ALL,10220_2_3_6_7_A
Mid1:CLS,10220_2_3_6_7_B
Mid1:OPN,10220_2_3_6_7_C
Late1:OPN,10220_2_3_6_7_D
Late1:CLS,10220_2_3_6_7_E
Early1:ALL,10230_14_15_24_25_A
Mid1:CLS,10230_14_15_24_25_B
Mid1:OPN,10230_14_15_24_25_C
Late1:OPN,10230_14_15_24_25_D
Early1:ALL,10240_14_15_24_A
Mid1:CLS,10240_14_15_24_B
Mid1:OPN,10240_14_15_24_C
Late1:OPN,10240_14_15_24_D
Early1:ALL,10240_25_27_A
Mid1:CLS,10240_25_27_B
Mid1:OPN,10240_25_27_C
Late1:OPN,10240_25_27_D
Early1:ALL,10240_26_A
Mid1:OPN,10240_26_B
Late1:OPN,10240_26_C
Early1:ALL,10250_14_15_24_25_26_A
Mid1:CLS,10250_14_15_24_25_26_B
Late1:CLS,10250_14_15_24_25_26_C
Early1:ALL,10260_15_A
Mid1:CLS,10260_15_B
Mid1:OPN,10260_15_C
Late1:OPN,10260_15_D
Late1:CLS,10260_15_E
Early1:ALL,10270_2_3_7_A
Mid1:CLS,10270_2_3_7_B
Mid1:OPN,10270_2_3_7_C
Late1:OPN,10270_2_3_7_D
Late1:CLS,10270_2_3_7_E
Early1:ALL,10270_4_5_6_A
Mid1:CLS,10270_4_5_6_B
Mid1:OPN,10270_4_5_6_C
Late1:OPN,10270_4_5_6_D
Late1:CLS,10270_4_5_6_E
Early1:ALL,10280_2_3_A
Mid1:CLS,10280_2_3_B
Mid1:OPN,10280_2_3_C
Late1:OPN,10280_2_3_D
Late1:CLS,10280_2_3_E
Early1:ALL,10280_4_6_7_12_A
Mid1:CLS,10280_4_6_7_12_B
Mid1:OPN,10280_4_6_7_12_C
Late1:OPN,10280_4_6_7_12_D
Late1:CLS,10280_4_6_7_12_E
Early1:ALL,10290_2_3_4_5_6_7_12_A
Mid1:CLS,10290_2_3_4_5_6_7_12_B
Mid1:OPN,10290_2_3_4_5_6_7_12_C
Late1:OPN,10290_2_3_4_5_6_7_12_D
Late1:CLS,10290_2_3_4_5_6_7_12_E
Early1:ALL,10300_2_3_4_5_6_7_A
Mid1:CLS,10300_2_3_4_5_6_7_B
Mid1:OPN,10300_2_3_4_5_6_7_C
Early1:ALL,10310_2_3_4_5_6_12_A
Mid1:CLS,10310_2_3_4_5_6_12_B
Mid1:OPN,10310_2_3_4_5_6_12_C
Late1:CLS,10310_2_3_4_5_6_12_D
Late1:OPN,10310_2_3_4_5_6_12_E
Early1:ALL,10310_7_A
Mid1:CLS,10310_7_B
Mid1:OPN,10310_7_C
Late1:OPN,10310_7_D
Late1:CLS,10310_7_E
Early1:ALL,10320_2_3_7_A
Mid1:CLS,10320_2_3_7_B
Mid1:OPN,10320_2_3_7_C
Late1:OPN,10320_2_3_7_D
Late1:CLS,10320_2_3_7_E
Early1:ALL,10321_6_A
Mid1:CLS,10321_6_B
Mid1:OPN,10321_6_C
Late1:OPN,10321_6_D
Late1:CLS,10321_6_E
Early1:ALL,10322_6_A
Mid1:CLS,10322_6_B
Mid1:OPN,10322_6_C
Late1:OPN,10322_6_D
Late1:CLS,10322_6_E
Early1:ALL,10330_12_A
Late2:CLS,10330_12_B
Late1:OPN,10330_12_C
Early1:ALL,10330_3_6_7_A
Late2:CLS,10330_3_6_7_B
Late1:OPN,10330_3_6_7_C
Early1:ALL,10340_4_6_7_A
Mid1:OPN,10340_4_6_7_B
Late1:OPN,10340_4_6_7_C
Early1:ALL,10350_1_2_7_A
Mid1:CLS,10350_1_2_7_B
Mid1:OPN,10350_1_2_7_C
Late1:OPN,10350_1_2_7_D
Late1:CLS,10350_1_2_7_E
Early1:ALL,10360_1_2_A
Mid1:CLS,10360_1_2_B
Mid2:CLS,10360_1_2_C
Mid2:OPN,10360_1_2_D
Late1:CLS,10360_1_2_E
Early1:ALL,10370_1_2_7_A
Mid1:CLS,10370_1_2_7_B
Mid1:OPN,10370_1_2_7_C
Late1:OPN,10370_1_2_7_D
Late1:CLS,10370_1_2_7_E
Early1:ALL,10380_1_7_A
Late1:CLS,10380_1_7_B
Early1:ALL,10390_1_2_3_7_A
Mid1:CLS,10390_1_2_3_7_B
Mid1:OPN,10390_1_2_3_7_C
Late1:OPN,10390_1_2_3_7_D
Late1:CLS,10390_1_2_3_7_E
Early1:ALL,10411_1_7_A
Mid1:CLS,10411_1_7_B
Mid1:OPN,10411_1_7_C
Late1:OPN,10411_1_7_D
Late1:CLS,10411_1_7_E
Early1:ALL,10412_1_7_A
Mid1:CLS,10412_1_7_B
Mid1:OPN,10412_1_7_C
Late1:OPN,10412_1_7_D
Late1:CLS,10412_1_7_E
Early1:ALL,10420_1_7_A
Mid1:CLS,10420_1_7_B
Mid1:OPN,10420_1_7_C
Late1:OPN,10420_1_7_D
Late1:CLS,10420_1_7_E
Early1:ALL,10430_5_A
Mid1:CLS,10430_5_B
Late1:CLS,10430_5_C
Early1:ALL,10431_2_3_6_7_A
Mid1:CLS,10431_2_3_6_7_B
Mid1:OPN,10431_2_3_6_7_C
Late1:OPN,10431_2_3_6_7_D
Late1:CLS,10431_2_3_6_7_E
Early1:ALL,10432_2_3_A
Mid1:CLS,10432_2_3_B
Mid1:OPN,10432_2_3_C
Late1:OPN,10432_2_3_D
Late1:CLS,10432_2_3_E
Early1:ALL,10440_3_6_7_A
Mid1:CLS,10440_3_6_7_B
Mid1:OPN,10440_3_6_7_C
Late1:OPN,10440_3_6_7_D
Late1:CLS,10440_3_6_7_E
Early1:ALL,10450_1_7_8_9_A
Mid1:CLS,10450_1_7_8_9_B
Mid1:OPN,10450_1_7_8_9_C
Late1:OPN,10450_1_7_8_9_D
Late1:CLS,10450_1_7_8_9_E
Early1:ALL,10450_21_A
Mid1:CLS,10450_21_B
Mid1:OPN,10450_21_C
Late1:OPN,10450_21_D
Late1:CLS,10450_21_E
Early1:ALL,10451_10_19_A
Mid1:CLS,10451_10_19_B
Mid1:OPN,10451_10_19_C
Late1:OPN,10451_10_19_D
Late1:CLS,10451_10_19_E
Early1:ALL,10451_20_A
Mid1:CLS,10451_20_B
Mid1:OPN,10451_20_C
Late1:OPN,10451_20_D
Late1:CLS,10451_20_E
Early1:ALL,10452_10_19_A
Mid1:CLS,10452_10_19_B
Mid1:OPN,10452_10_19_C
Late1:OPN,10452_10_19_D
Late1:CLS,10452_10_19_E
Early1:ALL,10453_10_19_A
Mid1:CLS,10453_10_19_B
Mid1:OPN,10453_10_19_C
Late1:OPN,10453_10_19_D
Late1:CLS,10453_10_19_E
Early1:ALL,10454_20_A
Mid1:CLS,10454_20_B
Mid1:OPN,10454_20_C
Late1:OPN,10454_20_D
Late1:CLS,10454_20_E
Early1:ALL,10460_1_7_9_A
Late2:CLS,10460_1_7_9_B
Late1:OPN,10460_1_7_9_C
Early1:ALL,10460_10_19_20_A
Mid1:CLS,10460_10_19_20_B
Mid1:OPN,10460_10_19_20_C
Late1:OPN,10460_10_19_20_D
Late1:CLS,10460_10_19_20_E
Early3:OPN,10460_18_A
Mid3:OPN,10460_18_B
Late3:OPN,10460_18_C
Late3:CLS,10460_18_D
Early1:ALL,10460_21_A
Mid1:CLS,10460_21_B
Mid1:OPN,10460_21_C
Late1:OPN,10460_21_D
Late1:CLS,10460_21_E
Early1:ALL,10470_10_19_A
Mid1:CLS,10470_10_19_B
Mid1:OPN,10470_10_19_C
Late1:OPN,10470_10_19_D
Late1:CLS,10470_10_19_E
Early1:ALL,10470_8_9_A
Mid1:CLS,10470_8_9_B
Mid1:OPN,10470_8_9_C
Late1:OPN,10470_8_9_D
Late1:CLS,10470_8_9_E
Early1:ALL,10472_10_19_A
Mid1:CLS,10472_10_19_B
Mid1:OPN,10472_10_19_C
Late1:OPN,10472_10_19_D
Late1:CLS,10472_10_19_E
Early1:ALL,10480_29_A
Early1:CLS,10480_29_B
Mid1:CLS,10480_29_C
Mid2:OPN,10480_29_D
Late1:CLS,10480_29_E
Early1:ALL,10490_16_22_A
Mid1:OPN,10490_16_22_B
Late1:CLS,10490_16_22_C
Early1:ALL,10490_19_20_21_23_28_29_A
Mid1:OPN,10490_19_20_21_23_28_29_B
Late1:CLS,10490_19_20_21_23_28_29_C
Early1:ALL,10500_16_23_28_A
Mid1:CLS,10500_16_23_28_B
Late1:CLS,10500_16_23_28_C
Early1:ALL,10500_18_A
Mid1:CLS,10500_18_B
Late1:CLS,10500_18_C
Early1:ALL,10500_22_A
Mid1:ALL,10500_22_B
Late1:CLS,10500_22_C
Early1:ALL,10510_15_16_17_22_23_24_25_A
Mid1:CLS,10510_15_16_17_22_23_24_25_B
Mid1:OPN,10510_15_16_17_22_23_24_25_C
Late1:OPN,10510_15_16_17_22_23_24_25_D
Late1:CLS,10510_15_16_17_22_23_24_25_E
Early1:ALL,10510_18_21_A
Mid1:CLS,10510_18_21_B
Mid1:OPN,10510_18_21_C
Late1:OPN,10510_18_21_D
Late1:CLS,10510_18_21_E
Early1:ALL,10510_27_A
Mid1:CLS,10510_27_B
Mid1:OPN,10510_27_C
Late1:OPN,10510_27_D
Late1:CLS,10510_27_E
Early1:ALL,10510_28_A
Mid1:CLS,10510_28_B
Mid1:OPN,10510_28_C
Late1:OPN,10510_28_D
Late1:CLS,10510_28_E
Early1:ALL,10510_29_A
Mid1:CLS,10510_29_B
Mid1:OPN,10510_29_C
Late1:OPN,10510_29_D
Late1:CLS,10510_29_E
Early1:ALL,10510_6_A
Mid1:CLS,10510_6_B
Mid1:OPN,10510_6_C
Late1:OPN,10510_6_D
Late1:CLS,10510_6_E
Early1:ALL,10520_12_A
Mid1:CLS,10520_12_B
Mid1:OPN,10520_12_C
Late1:OPN,10520_12_D
Late1:CLS,10520_12_E
Early1:ALL,10520_13_A
Mid1:CLS,10520_13_B
Mid1:OPN,10520_13_C
Late1:OPN,10520_13_D
Late1:CLS,10520_13_E
Early1:ALL,10520_15_A
Mid1:CLS,10520_15_B
Mid1:OPN,10520_15_C
Late1:OPN,10520_15_D
Late1:CLS,10520_15_E
Early1:ALL,10520_16_23_24_A
Mid1:CLS,10520_16_23_24_B
Mid1:OPN,10520_16_23_24_C
Late1:OPN,10520_16_23_24_D
Late1:CLS,10520_16_23_24_E
Early1:ALL,10520_17_A
Mid1:CLS,10520_17_B
Mid1:OPN,10520_17_C
Late1:OPN,10520_17_D
Late1:CLS,10520_17_E
Early1:ALL,10520_18_A
Mid1:CLS,10520_18_B
Mid1:OPN,10520_18_C
Late1:OPN,10520_18_D
Late1:CLS,10520_18_E
Early1:ALL,10520_21_A
Mid1:CLS,10520_21_B
Mid1:OPN,10520_21_C
Late1:OPN,10520_21_D
Late1:CLS,10520_21_E
Early1:ALL,10520_25_A
Mid1:CLS,10520_25_B
Mid1:OPN,10520_25_C
Late1:OPN,10520_25_D
Late1:CLS,10520_25_E
Early1:ALL,10520_27_A
Mid1:CLS,10520_27_B
Mid1:OPN,10520_27_C
Late1:OPN,10520_27_D
Late1:CLS,10520_27_E
Early1:ALL,10520_28_A
Mid1:CLS,10520_28_B
Mid1:OPN,10520_28_C
Late1:OPN,10520_28_D
Late1:CLS,10520_28_E
Early1:OPN,10530_10_19_A
Mid1:CLS,10530_10_19_B
Mid1:OPN,10530_10_19_C
Late1:OPN,10530_10_19_D
Late1:CLS,10530_10_19_E
Early1:ALL,10531_1_7_8_9_A
Mid1:CLS,10531_1_7_8_9_B
Mid1:OPN,10531_1_7_8_9_C
Late1:OPN,10531_1_7_8_9_D
Late1:CLS,10531_1_7_8_9_E
Early1:ALL,10532_7_9_A
Mid1:CLS,10532_7_9_B
Mid1:OPN,10532_7_9_C
Late1:OPN,10532_7_9_D
Late1:CLS,10532_7_9_E
Early1:ALL,10540_13_14_A
