"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,26868,5975,"BPS  Open Water",5975,"EVT  Open Water",5975
"2",31,9001,6170,1372,"BPS  Barren-Rock/Sand/Clay",6020,"EVT  Sparsely Vegetated",11851
"3",31,9018,247,55,"BPS  Barren-Rock/Sand/Clay",6020,"EVT  Sparsely Vegetated",451
"4",31,9033,20393,4535,"BPS  Barren-Rock/Sand/Clay",6020,"EVT  Sparsely Vegetated",7096
"5",31,9147,257,57,"BPS  Barren-Rock/Sand/Clay",6020,"EVT  Sparsely Vegetated",2247
"6",381,7011,4,1,"BPS  Shrubland",180,"EVT  Hardwood",3400
"7",381,7016,3,1,"BPS  Shrubland",180,"EVT  Conifer",202233
"8",381,7051,31,7,"BPS  Shrubland",180,"EVT  Conifer",22357
"9",381,7054,183,41,"BPS  Shrubland",180,"EVT  Conifer",1411265
"10",381,7104,12,3,"BPS  Shrubland",180,"EVT  Shrubland",11366
"11",381,7107,32,7,"BPS  Shrubland",180,"EVT  Shrubland",25455
"12",381,7117,2,0,"BPS  Shrubland",180,"EVT  Conifer",6059
"13",381,7127,2,0,"BPS  Shrubland",180,"EVT  Shrubland",56905
"14",381,7135,3,1,"BPS  Shrubland",180,"EVT  Grassland",27816
"15",381,7146,441,98,"BPS  Shrubland",180,"EVT  Grassland",51946
"16",381,7931,1,0,"BPS  Shrubland",180,"EVT  Developed",3753
"17",381,9001,92,20,"BPS  Shrubland",180,"EVT  Sparsely Vegetated",11851
"18",381,9018,2,0,"BPS  Shrubland",180,"EVT  Sparsely Vegetated",451
"19",381,9828,3,1,"BPS  Shrubland",180,"EVT  Exotic Herbaceous",10596
"20",384,7135,1,0,"BPS  Sparse",700,"EVT  Grassland",27816
"21",384,7146,2,0,"BPS  Sparse",700,"EVT  Grassland",51946
"22",384,7295,23,5,"BPS  Sparse",700,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",755
"23",384,7296,49,11,"BPS  Sparse",700,"EVT  Developed-Low Intensity",5587
"24",384,7297,14,3,"BPS  Sparse",700,"EVT  Developed-Medium Intensity",3829
"25",384,7298,4,1,"BPS  Sparse",700,"EVT  Developed-High Intensity",1701
"26",384,7299,64,14,"BPS  Sparse",700,"EVT  Developed-Roads",47086
"27",384,7910,6,1,"BPS  Sparse",700,"EVT  Developed",1179
"28",384,7911,2,0,"BPS  Sparse",700,"EVT  Developed",11275
"29",384,7912,1,0,"BPS  Sparse",700,"EVT  Developed",2404
"30",384,7913,9,2,"BPS  Sparse",700,"EVT  Developed",1335
"31",384,7914,161,36,"BPS  Sparse",700,"EVT  Developed",7089
"32",384,9001,2661,592,"BPS  Sparse",700,"EVT  Sparsely Vegetated",11851
"33",384,9018,142,32,"BPS  Sparse",700,"EVT  Sparsely Vegetated",451
