"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",5,3273942,"E","Succession Class E",0,74,77,0,0.290196,0.301961,728107,33.3
"2",3,2058849,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,457877,20.9
"3",2,1672853,"B","Succession Class B",56,168,0,0.219608,0.658824,0,372034,17
"4",4,1160916,"D","Succession Class D",255,248,166,1,0.972549,0.65098,258182,11.8
"5",1,1056551,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,234971,10.7
"6",120,393762,"Developed","Developed",132,0,138,0.517647,0,0.541176,87571,4
"7",132,97335,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,21647,1
"8",7,56445,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,12553,0.6
"9",6,38457,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,8553,0.4
"10",111,26868,"Water","Water",0,0,255,0,0,1,5975,0.3
"11",180,158,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,35,0
