"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",3,9894540,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,2200493,29.6
"2",2,6237003,"B","Succession Class B",56,168,0,0.219608,0.658824,0,1387076,18.6
"3",4,5301340,"D","Succession Class D",255,248,166,1,0.972549,0.65098,1178990,15.8
"4",5,4781298,"E","Succession Class E",0,74,77,0,0.290196,0.301961,1063335,14.3
"5",1,4073848,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,906002,12.2
"6",132,1238455,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,275426,3.7
"7",120,847559,"Developed","Developed",132,0,138,0.517647,0,0.541176,188493,2.5
"8",6,643877,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,143195,1.9
"9",7,372283,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,82794,1.1
"10",111,63216,"Water","Water",0,0,255,0,0,1,14059,0.2
"11",180,12396,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,2757,0
