"","to_join","model_label","model_code","ref_label","ref_percent","bps_name","ID","count2020","total_count2020","current_percent2020","count2022","total_count2022","current_percent2022","change","sign_change","bps_acres"
"1","1_10160_15_28_A","10160_15_28_A","10160_15_28","A",10,"Colorado Plateau Pinyon-Juniper Woodland",1,731,6264,11,731,6264,11,0,FALSE,1391
"2","1_10160_15_28_B","10160_15_28_B","10160_15_28","B",21,"Colorado Plateau Pinyon-Juniper Woodland",1,48,6264,0,48,6264,0,0,FALSE,1391
"3","1_10160_15_28_C","10160_15_28_C","10160_15_28","C",25,"Colorado Plateau Pinyon-Juniper Woodland",1,509,6264,8,509,6264,8,0,FALSE,1391
"4","1_10160_15_28_D","10160_15_28_D","10160_15_28","D",34,"Colorado Plateau Pinyon-Juniper Woodland",1,3595,6264,57,3596,6264,57,0,FALSE,1391
"5","1_10160_15_28_E","10160_15_28_E","10160_15_28","E",10,"Colorado Plateau Pinyon-Juniper Woodland",1,1059,6264,16,1059,6264,16,0,FALSE,1391
"6","1_10160_15_28_Agriculture","10160_15_28_Agriculture","10160_15_28","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,1391
"7","1_10160_15_28_Developed","10160_15_28_Developed","10160_15_28","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",1,296,6264,4,295,6264,4,0,FALSE,1391
"8","1_10160_15_28_UN","10160_15_28_UN","10160_15_28","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,1391
"9","1_10160_15_28_UE","10160_15_28_UE","10160_15_28","UE",0,"Colorado Plateau Pinyon-Juniper Woodland",1,26,6264,0,26,6264,0,0,FALSE,1391
"10","1_10190_15_A","10190_15_A","10190_15","A",2,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,2
"11","1_10190_15_B","10190_15_B","10190_15","B",7,"Great Basin Pinyon-Juniper Woodland",1,1,8,12,1,8,12,0,FALSE,2
"12","1_10190_15_C","10190_15_C","10190_15","C",27,"Great Basin Pinyon-Juniper Woodland",1,5,8,62,5,8,62,0,FALSE,2
"13","1_10190_15_D","10190_15_D","10190_15","D",64,"Great Basin Pinyon-Juniper Woodland",1,2,8,25,2,8,25,0,FALSE,2
"14","1_10190_15_E","10190_15_E","10190_15","E",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,2
"15","1_10190_15_Agriculture","10190_15_Agriculture","10190_15","Agriculture",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,2
"16","1_10190_15_Developed","10190_15_Developed","10190_15","Developed",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,2
"17","1_10190_15_UN","10190_15_UN","10190_15","UN",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,2
"18","1_10190_15_UE","10190_15_UE","10190_15","UE",0,"Great Basin Pinyon-Juniper Woodland",1,0,0,0,0,0,0,0,FALSE,2
"19","1_10230_14_15_24_25_A","10230_14_15_24_25_A","10230_14_15_24_25","A",21,"Madrean Encinal",1,1,85,1,1,85,1,0,FALSE,19
"20","1_10230_14_15_24_25_B","10230_14_15_24_25_B","10230_14_15_24_25","B",37,"Madrean Encinal",1,32,85,37,32,85,37,0,FALSE,19
"21","1_10230_14_15_24_25_C","10230_14_15_24_25_C","10230_14_15_24_25","C",25,"Madrean Encinal",1,0,0,0,0,0,0,0,FALSE,19
"22","1_10230_14_15_24_25_D","10230_14_15_24_25_D","10230_14_15_24_25","D",17,"Madrean Encinal",1,52,85,61,52,85,61,0,FALSE,19
"23","1_10230_14_15_24_25_E","10230_14_15_24_25_E","10230_14_15_24_25","E",0,"Madrean Encinal",1,0,0,0,0,0,0,0,FALSE,19
"24","1_10230_14_15_24_25_Agriculture","10230_14_15_24_25_Agriculture","10230_14_15_24_25","Agriculture",0,"Madrean Encinal",1,0,0,0,0,0,0,0,FALSE,19
"25","1_10230_14_15_24_25_Developed","10230_14_15_24_25_Developed","10230_14_15_24_25","Developed",0,"Madrean Encinal",1,0,0,0,0,0,0,0,FALSE,19
"26","1_10230_14_15_24_25_UN","10230_14_15_24_25_UN","10230_14_15_24_25","UN",0,"Madrean Encinal",1,0,0,0,0,0,0,0,FALSE,19
